No,Year,CreditScore,Geography,Gender,Age,Tenure,Balance,NumOfProducts,HasCrCard,IsActiveMember,EstimatedSalary,Exited,Age_Group,CreditScore_value,Balance_Value,Tenure_term,Financial_Score,Financial_Profile
1,2025,619,France,Female,42,2,0,1,1,1,101349,1,30-45,Medium,Zero-Balance,New,1.31,Low Value
2,2025,608,Spain,Female,41,1,83808,1,0,1,112543,0,30-45,Low,Low-Balance,New,1.59,Low Value
3,2025,502,France,Female,42,8,159661,3,1,0,113932,1,30-45,Low,High-Balance,Long-Term,2.56,High Value
4,2025,699,France,Female,39,1,0,2,0,0,93827,0,30-45,High,Zero-Balance,New,2.07,High Value
5,2025,850,Spain,Female,43,2,125511,1,1,1,79084,0,30-45,High,High-Balance,New,2.37,High Value
6,2025,645,Spain,Male,44,8,113756,2,1,0,149757,1,30-45,Medium,High-Balance,Long-Term,2.59,High Value
7,2025,822,France,Male,50,7,0,2,1,1,10063,0,46-60,High,Zero-Balance,Mid-Term,1.93,Low Value
8,2025,376,Germany,Female,29,4,115047,4,1,0,119347,1,<30,Low,High-Balance,Mid-Term,2.24,High Value
9,2025,501,France,Male,44,4,142051,2,0,1,74940,0,30-45,Low,High-Balance,Mid-Term,2.03,High Value
10,2025,684,France,Male,27,2,134604,1,1,1,71726,0,<30,Medium,High-Balance,New,2.04,High Value
11,2025,528,France,Male,31,6,102017,2,0,0,80181,0,30-45,Low,High-Balance,Mid-Term,1.78,Low Value
12,2025,497,Spain,Male,24,3,0,2,1,0,76390,0,<30,Low,Zero-Balance,New,1.36,Low Value
13,2025,476,France,Female,34,10,0,2,1,0,26261,0,30-45,Low,Zero-Balance,Long-Term,1.08,Low Value
14,2025,549,France,Female,25,5,0,2,0,0,190858,0,<30,Low,Zero-Balance,Mid-Term,2.03,High Value
15,2025,635,Spain,Female,35,7,0,2,1,1,65952,0,30-45,Medium,Zero-Balance,Mid-Term,1.68,Low Value
16,2025,616,Germany,Male,45,3,143129,2,0,1,64327,0,30-45,Medium,High-Balance,New,2.28,High Value
17,2025,653,Germany,Male,58,1,132603,1,1,0,5098,1,46-60,Medium,High-Balance,New,1.58,Low Value
18,2025,549,Spain,Female,24,9,0,2,1,1,14406,0,<30,Low,Zero-Balance,Long-Term,1.15,Low Value
19,2025,587,Spain,Male,45,6,0,1,0,0,158685,0,30-45,Low,Zero-Balance,Mid-Term,1.49,Low Value
20,2025,726,France,Female,24,6,0,2,1,1,54724,0,<30,High,Zero-Balance,Mid-Term,1.96,Low Value
21,2025,732,France,Male,41,8,0,2,1,1,170886,0,30-45,High,Zero-Balance,Long-Term,2.57,High Value
22,2025,636,Spain,Female,32,8,0,2,1,0,138555,0,30-45,Medium,Zero-Balance,Long-Term,2.05,High Value
23,2025,510,Spain,Female,38,4,0,1,1,0,118914,1,30-45,Low,Zero-Balance,Mid-Term,1.11,Low Value
24,2025,669,France,Male,46,3,0,2,0,1,8488,0,46-60,Medium,Zero-Balance,New,1.53,Low Value
25,2025,846,France,Female,38,5,0,1,1,1,187616,0,30-45,High,Zero-Balance,Mid-Term,2.35,High Value
26,2025,577,France,Male,25,3,0,2,0,1,124508,0,<30,Low,Zero-Balance,New,1.77,Low Value
27,2025,756,Germany,Male,36,2,136816,1,1,1,170042,0,30-45,High,High-Balance,New,2.78,High Value
28,2025,571,France,Male,44,9,0,2,0,0,38433,0,30-45,Low,Zero-Balance,Long-Term,1.32,Low Value
29,2025,574,Germany,Female,43,3,141349,1,1,1,100187,0,30-45,Low,High-Balance,New,1.83,Low Value
30,2025,411,France,Male,29,0,59697,2,1,1,53483,0,<30,Low,Low-Balance,New,1.38,Low Value
31,2025,591,Spain,Female,39,3,0,3,1,0,140469,1,30-45,Low,Zero-Balance,New,2.14,High Value
32,2025,533,France,Male,36,7,85312,1,0,1,156732,0,30-45,Low,Low-Balance,Mid-Term,1.6,Low Value
33,2025,553,Germany,Male,41,9,110113,2,0,0,81899,0,30-45,Low,High-Balance,Long-Term,1.91,Low Value
34,2025,520,Spain,Female,42,6,0,2,1,1,34411,0,30-45,Low,Zero-Balance,Mid-Term,1.18,Low Value
35,2025,722,Spain,Female,29,9,0,2,1,1,142033,0,<30,High,Zero-Balance,Long-Term,2.4,High Value
36,2025,475,France,Female,45,0,134264,1,1,0,27823,1,30-45,Low,High-Balance,New,1.23,Low Value
37,2025,490,Spain,Male,31,3,145260,1,0,1,114067,0,30-45,Low,High-Balance,New,1.75,Low Value
38,2025,804,Spain,Male,33,7,76549,1,0,1,98453,0,30-45,High,Low-Balance,Mid-Term,2.09,High Value
39,2025,850,France,Male,36,7,0,1,1,1,40813,0,30-45,High,Zero-Balance,Mid-Term,1.62,Low Value
40,2025,582,Germany,Male,41,6,70349,2,0,1,178074,0,30-45,Low,Low-Balance,Mid-Term,2.27,High Value
41,2025,472,Spain,Male,40,4,0,1,1,0,70154,0,30-45,Low,Zero-Balance,Mid-Term,0.82,Low Value
42,2025,465,France,Female,51,8,122522,1,0,0,181298,1,46-60,Low,High-Balance,Long-Term,1.89,Low Value
43,2025,556,France,Female,61,2,117419,1,1,1,94154,0,60+,Low,High-Balance,New,1.56,Low Value
44,2025,834,France,Female,49,2,131395,1,0,0,194366,1,46-60,High,High-Balance,New,2.97,High Value
45,2025,660,Spain,Female,61,5,155931,1,1,1,158338,0,60+,Medium,High-Balance,Mid-Term,2.51,High Value
46,2025,776,Germany,Female,32,4,109421,2,1,1,126517,0,30-45,High,High-Balance,Mid-Term,2.87,High Value
47,2025,829,Germany,Female,27,9,112046,1,1,1,119708,1,<30,High,High-Balance,Long-Term,2.43,High Value
48,2025,637,Germany,Female,39,9,137844,1,1,1,117623,1,30-45,Medium,High-Balance,Long-Term,2.11,High Value
49,2025,550,Germany,Male,38,2,103391,1,0,1,90878,0,30-45,Low,High-Balance,New,1.41,Low Value
50,2025,776,Germany,Female,37,2,103769,2,1,0,194099,0,30-45,High,High-Balance,New,3.15,High Value
51,2025,698,Germany,Male,44,10,116363,2,1,0,198059,0,30-45,High,High-Balance,Long-Term,3.06,High Value
52,2025,585,Germany,Male,36,5,146051,2,0,0,86425,0,30-45,Low,High-Balance,Mid-Term,2.31,High Value
53,2025,788,France,Female,33,5,0,2,0,0,116978,0,30-45,High,Zero-Balance,Mid-Term,2.42,High Value
54,2025,655,Germany,Male,41,8,125562,1,0,0,164041,1,30-45,Medium,High-Balance,Long-Term,2.32,High Value
55,2025,601,Germany,Male,42,1,98496,1,1,0,40015,1,30-45,Low,High-Balance,New,1.27,Low Value
56,2025,619,France,Male,43,1,125212,1,1,1,113410,0,30-45,Medium,High-Balance,New,1.92,Low Value
57,2025,656,France,Male,45,5,127864,1,1,0,87108,0,30-45,Medium,High-Balance,Mid-Term,1.96,Low Value
58,2025,725,Germany,Male,19,0,75888,1,0,0,45614,0,<30,High,Low-Balance,New,1.66,Low Value
59,2025,511,Spain,Female,66,4,0,1,1,0,1643,1,60+,Low,Zero-Balance,Mid-Term,0.52,Low Value
60,2025,614,France,Male,51,4,40686,1,1,1,46775,0,46-60,Medium,Low-Balance,Mid-Term,1.2,Low Value
61,2025,742,Germany,Male,35,5,136857,1,0,0,84510,0,30-45,High,High-Balance,Mid-Term,2.32,High Value
62,2025,687,Germany,Female,27,9,152329,2,0,0,126495,0,<30,Medium,High-Balance,Long-Term,2.93,High Value
63,2025,555,Spain,Male,33,1,56085,2,0,0,178798,0,30-45,Low,Low-Balance,New,2.18,High Value
64,2025,684,Spain,Male,56,8,78707,1,1,1,99398,0,46-60,Medium,Low-Balance,Long-Term,1.79,Low Value
65,2025,603,Germany,Male,26,4,109166,1,1,1,92841,0,<30,Low,High-Balance,Mid-Term,1.63,Low Value
66,2025,751,Germany,Female,36,6,169831,2,1,1,27758,0,30-45,High,High-Balance,Mid-Term,2.68,High Value
67,2025,581,Germany,Female,34,1,101633,1,1,0,110432,0,30-45,Low,High-Balance,New,1.58,Low Value
68,2025,735,Germany,Male,43,10,123180,2,1,1,196673,0,30-45,High,High-Balance,Long-Term,3.23,High Value
69,2025,661,Germany,Female,35,5,150726,2,0,1,113657,0,30-45,Medium,High-Balance,Mid-Term,2.75,High Value
70,2025,675,France,Female,21,8,98373,1,1,0,18203,0,<30,Medium,High-Balance,Long-Term,1.44,Low Value
71,2025,738,Germany,Male,58,2,133745,4,1,0,28374,1,46-60,High,High-Balance,New,2.75,High Value
72,2025,813,France,Male,29,6,0,1,1,0,33954,0,<30,High,Zero-Balance,Mid-Term,1.55,Low Value
